                   Karl-Franzens-Universität Graz" "Reconceiving TEI models of theatrical performance text with reference to promptbooks" "promptbook | performance text | dramatic text | event | Stratford Festival"
Roeder Torsten "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Genesis and Variance: From Letter to Literature" "textual variance | textual genesis | alignment | critical apparatus"
"Rojas Castro" Antonio "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Modeling FRBR Entities and their Relationships with TEI: A Look at HallerNet Bibliographic Descriptions" "FRBR | bibliographic records | metadata"
"Rondeau du Noyer" Lucie "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Scaling up Automatic Structuring of Manuscript Sales Catalogues" "Machine learning | manuscript sales catalogues | 19th c. France"
Ruef Beni "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Creating high-quality print from TEI documents" "TEI Processing Model | ODD | LaTeX | high-quality print"
Simek Jakub "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Referencing an editorial ontology from the TEI: An attempt to overcome informal typologies" "scholarly edition | ontology | pointer | URI | ODD"
Takeda Joseph "University of British Columbia" "Using Github and its Integrations to Create, Test, and Deploy a Digital Edition" "digital editions | publication | workflows"
Trikha Himal "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Towards larger corpora of Indic texts: For now, minimize metatext" "Jainism | Sanskrit | Philology"
Wissik Tanja "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Challenges in encoding parliamentary data: between applause and interjections" "parliamentary records | TEI transcript of speech module | encoding applause | encoding interjections"
